"RN","ThreAss","ThreCon","intervention","step","Asupp","Bsupp","ABsupp","Apos","Aneg","A","Bpos","Bneg","B","ABpos","ABneg","AB","sr-supporters","sr-opponents","satisfaction-rate","support-rate"
"1","0.5","0.5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1","0.5","0.5","0","1","22","16","2","17","3","2","11","5","0","2","0","0","0.6875","0.7727272727272727","0.75","0.4"
"1","0.5","0.5","0","2","15","24","1","14","1","0","13","11","0","1","0","0","0.5416666666666666","0.9333333333333333","0.7","0.6"
"1","0.5","0.5","0","3","15","24","1","14","1","0","13","11","0","1","0","0","0.5416666666666666","0.9333333333333333","0.7","0.6"
"1","0.5","0.5","0","4","16","24","0","14","2","0","13","11","0","0","0","0","0.5416666666666666","0.875","0.675","0.6"
"1","0.5","0.5","0","5","15","24","1","14","1","0","13","11","0","1","0","0","0.5416666666666666","0.9333333333333333","0.7","0.6"
"1","0.5","0.5","0","6","16","24","0","14","2","0","13","11","0","0","0","0","0.5416666666666666","0.875","0.675","0.6"
"1","0.5","0.5","0","7","16","24","0","14","2","0","13","11","0","0","0","0","0.5416666666666666","0.875","0.675","0.6"
"1","0.5","0.5","0","8","16","24","0","14","2","0","13","11","0","0","0","0","0.5416666666666666","0.875","0.675","0.6"
"1","0.5","0.5","0","9","16","24","0","14","2","0","13","11","0","0","0","0","0.5416666666666666","0.875","0.675","0.6"
"1","0.5","0.5","0","10","16","24","0","14","2","0","13","11","0","0","0","0","0.5416666666666666","0.875","0.675","0.6"
"1","0.5","0.5","0","11","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
"1","0.5","0.5","0","12","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
"1","0.5","0.5","0","13","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
"1","0.5","0.5","0","14","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
"1","0.5","0.5","0","15","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
"1","0.5","0.5","0","16","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
"1","0.5","0.5","0","17","14","26","0","12","2","0","14","12","0","0","0","0","0.5384615384615384","0.8571428571428571","0.65","0.65"
